x,y,action_density
3.535353535353535470e+00,2.020202020202020166e-01,5.461692491615103284e-01
3.636363636363636243e+00,2.020202020202020166e-01,5.403704887066659301e-01
3.737373737373737459e+00,2.020202020202020166e-01,5.335120396362891260e-01
3.838383838383838231e+00,2.020202020202020166e-01,5.260940998215860587e-01
3.939393939393939448e+00,2.020202020202020166e-01,5.185676073168303812e-01
4.040404040404040664e+00,2.020202020202020166e-01,5.113104950712157315e-01
4.141414141414140992e+00,2.020202020202020166e-01,5.046131929496859847e-01
4.242424242424242209e+00,2.020202020202020166e-01,4.986737614918294037e-01
4.343434343434343425e+00,2.020202020202020166e-01,4.936020136088761223e-01
4.444444444444444642e+00,2.020202020202020166e-01,4.894311475456502025e-01
4.545454545454544970e+00,2.020202020202020166e-01,4.861348448713284087e-01
4.646464646464646187e+00,2.020202020202020166e-01,4.836475006680429067e-01
4.747474747474747403e+00,2.020202020202020166e-01,4.818852274982554085e-01
4.848484848484848619e+00,2.020202020202020166e-01,4.807654598370779686e-01
4.949494949494949836e+00,2.020202020202020166e-01,4.802233188567024413e-01
5.050505050505050164e+00,2.020202020202020166e-01,4.802233188567024413e-01
5.151515151515151381e+00,2.020202020202020166e-01,4.807654598370779686e-01
5.252525252525252597e+00,2.020202020202020166e-01,4.818852274982554085e-01
5.353535353535353813e+00,2.020202020202020166e-01,4.836475006680429067e-01
5.454545454545454142e+00,2.020202020202020166e-01,4.861348448713284087e-01
5.555555555555555358e+00,2.020202020202020166e-01,4.894311475456502025e-01
5.656565656565656575e+00,2.020202020202020166e-01,4.936020136088761223e-01
5.757575757575757791e+00,2.020202020202020166e-01,4.986737614918292927e-01
5.858585858585858119e+00,2.020202020202020166e-01,5.046131929496860957e-01
5.959595959595959336e+00,2.020202020202020166e-01,5.113104950712157315e-01
6.060606060606060552e+00,2.020202020202020166e-01,5.185676073168303812e-01
6.161616161616161769e+00,2.020202020202020166e-01,5.260940998215860587e-01
6.262626262626262097e+00,2.020202020202020166e-01,5.335120396362890149e-01
6.363636363636363313e+00,2.020202020202020166e-01,5.403704887066659301e-01
6.464646464646464530e+00,2.020202020202020166e-01,5.461692491615102174e-01
6.565656565656565746e+00,2.020202020202020166e-01,5.503903614588352422e-01
6.666666666666666963e+00,2.020202020202020166e-01,5.525348153003210028e-01
6.767676767676767291e+00,2.020202020202020166e-01,5.521611088246474175e-01
6.868686868686868507e+00,2.020202020202020166e-01,5.489218287389889817e-01
6.969696969696969724e+00,2.020202020202020166e-01,5.425944192901308583e-01
7.070707070707070940e+00,2.020202020202020166e-01,5.322424901498170602e-01
7.171717171717171269e+00,2.020202020202020166e-01,5.155015300925829269e-01
7.272727272727272485e+00,2.020202020202020166e-01,4.926436347224010803e-01
7.373737373737373701e+00,2.020202020202020166e-01,4.643853244884385001e-01
7.474747474747474918e+00,2.020202020202020166e-01,4.316769234738638272e-01
7.575757575757575246e+00,2.020202020202020166e-01,3.956339291285371207e-01
7.676767676767676463e+00,2.020202020202020166e-01,3.574592233685617293e-01
7.777777777777777679e+00,2.020202020202020166e-01,3.183638235670595562e-01
7.878787878787878896e+00,2.020202020202020166e-01,2.794934841021317062e-01
7.979797979797979224e+00,2.020202020202020166e-01,2.418672237293653660e-01
8.080808080808081328e+00,2.020202020202020166e-01,2.063320094366680457e-01
8.181818181818181657e+00,2.020202020202020166e-01,1.735356798529767430e-01
8.282828282828281985e+00,2.020202020202020166e-01,1.439180586170417664e-01
8.383838383838384090e+00,2.020202020202020166e-01,1.177183676489756831e-01
8.484848484848484418e+00,2.020202020202020166e-01,9.499569975365736163e-02
8.585858585858586522e+00,2.020202020202020166e-01,7.565854766051610669e-02
8.686868686868686851e+00,2.020202020202020166e-01,5.949921119898270161e-02
8.787878787878787179e+00,2.020202020202020166e-01,4.622923193946883863e-02
8.888888888888889284e+00,2.020202020202020166e-01,3.551269667125114826e-02
8.989898989898989612e+00,2.020202020202020166e-01,2.699514598840036320e-02
9.090909090909089940e+00,2.020202020202020166e-01,2.032676679983892384e-02
9.191919191919192045e+00,2.020202020202020166e-01,1.517941091146682991e-02
9.292929292929292373e+00,2.020202020202020166e-01,1.125767988485854541e-02
9.393939393939394478e+00,2.020202020202020166e-01,8.304806773579382490e-03
9.494949494949494806e+00,2.020202020202020166e-01,6.104344500725227170e-03
9.595959595959595134e+00,2.020202020202020166e-01,4.478764003356580300e-03
9.696969696969697239e+00,2.020202020202020166e-01,3.286015529949402707e-03
9.797979797979797567e+00,2.020202020202020166e-01,2.414962461738062380e-03
9.898989898989899672e+00,2.020202020202020166e-01,1.780404870798411865e-03
